run_id,step,predicted_score,real_score
2,0,0.3104210337888635,0.42969942
2,1,0.3119827229786008,0.4235146
2,2,0.3406870211256768,0.6662372
2,3,0.3579088290092013,0.772925
2,4,0.3645144612065134,0.78689235
3,0,0.3373232351701907,0.44599637
3,1,0.3604370338355107,0.55970395
3,2,0.3690760117923272,0.5678988
3,3,0.3723370067680335,0.72356
3,4,0.3753236105917889,0.6081825
3,5,0.37649309911496387,0.48027048
3,6,0.3782450622331928,0.69446045
3,7,0.3784208535319305,0.6616192
6,0,0.34234397524559773,0.51347256
6,1,0.3441267404231476,0.5030202
6,2,0.3519633730335768,0.48077556
6,3,0.3561944378619579,0.6279945
6,4,0.36444072009556705,0.7435472
6,5,0.3721328989100693,0.79195356
6,6,0.37297396889580114,0.57569164
6,7,0.3755839462872288,0.62124276
7,0,0.30826341652436773,0.49591804
7,1,0.3146443799160627,0.4796623
7,2,0.35281462409203695,0.65940297
7,3,0.36163607987518886,0.5648786
7,4,0.36259177082014754,0.4658702
7,5,0.3634289662316527,0.67267966
7,6,0.3725295149289966,0.59186494
7,7,0.37629181930067657,0.61886156
7,8,0.38039947916799866,0.49804148
8,0,0.33643875396361866,0.48589864
8,1,0.3458932961130912,0.45057312
8,2,0.36160470820619933,0.8102503
8,3,0.3680507368473408,0.7101493
8,4,0.37016635827195193,0.82614523
8,5,0.37199092552525703,0.5250897
8,6,0.37604887404650433,0.6751948
9,0,0.32303536733473515,0.47410628
9,1,0.35324393336820387,0.43980128
9,2,0.3562397080336381,0.26862657
9,3,0.35931189939635083,0.5894632
9,4,0.36172725855966426,0.39197212
9,5,0.36843083375597907,0.6458376
9,6,0.3691119339169761,0.6167897
9,7,0.3707254367650498,0.68360615
9,8,0.3736196136699351,0.8021688
9,9,0.3743442910231511,0.89442545
