run_id,step,predicted_score,real_score
2,0,0.3462451948300221,0.52140975
2,1,0.34692372446294933,0.52919227
2,2,0.3540669545684067,0.65666103
2,3,0.369441119226209,0.7765225
2,4,0.37206332093944805,0.7132313
2,5,0.37336026155909463,0.6239022
6,0,0.34275682544888164,0.38038594
6,1,0.34939393907985905,0.26690513
6,2,0.35625321549080047,0.38339588
6,3,0.36399817355645747,0.801808
6,4,0.3642762463067763,0.45946893
6,5,0.3713637826500101,0.8249392
6,6,0.37367090366918365,0.5783202
6,7,0.376462333302777,0.54253083
8,0,0.32689542090589824,0.35049272
8,1,0.3273660175512699,0.35969776
8,2,0.3307700122268581,0.36829466
8,3,0.3319741956836706,0.5116068
8,4,0.3365545139177989,0.7598854
8,5,0.3462905756799208,0.6912134
8,6,0.35252921813537647,0.37345895
8,7,0.3602864667563466,0.81779575
8,8,0.370439504153551,0.7895415
8,9,0.37331980861411057,0.53967553
8,10,0.3736028939824782,0.51564753
8,11,0.3766268672701449,0.6345916
